Link,Name,Brand,Gender,Top_Notes,Mid_Notes,Base_Notes,Rating,Year,Category,Longevity,All_Notes,Notes
https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,Dior Homme Intense 2011,Dior,men,Lavender,"Iris, Ambrette, Musk Mallow, Pear","Virginia Cedar, Vetiver",4.5,2011,woody,3.878,"Lavender, Iris, Ambrette, Musk Mallow, Pear, Virginia Cedar, Vetiver","['Lavender', 'Iris', 'Ambrette', 'Musk Mallow', 'Pear', 'Virginia Cedar', 'Vetiver']"
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,Tobacco Vanille,Tom Ford,women and men,"Tobacco Leaf, Spicy Notes","Vanilla, Cacao, Tonka Bean, Tobacco Blossom","Dried Fruits, Woody Notes",4.22,2007,gourmand,4.09,"Tobacco Leaf, Spicy Notes, Vanilla, Cacao, Tonka Bean, Tobacco Blossom, Dried Fruits, Woody Notes","['Tobacco Leaf', 'Spicy Notes', 'Vanilla', 'Cacao', 'Tonka Bean', 'Tobacco Blossom', 'Dried Fruits', 'Woody Notes']"
https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,Layton,Parfums de Marly,women and men,"Apple, Lavender, Bergamot, Mandarin Orange","Geranium, Violet, Jasmine","Vanilla, Cardamom, Sandalwood, Pepper, Guaiac Wood, Patchouli",4.46,2016,warm spicy,3.81,"Apple, Lavender, Bergamot, Mandarin Orange, Geranium, Violet, Jasmine, Vanilla, Cardamom, Sandalwood, Pepper, Guaiac Wood, Patchouli","['Apple', 'Lavender', 'Bergamot', 'Mandarin Orange', 'Geranium', 'Violet', 'Jasmine', 'Vanilla', 'Cardamom', 'Sandalwood', 'Pepper', 'Guaiac Wood', 'Patchouli']"
https://www.fragrantica.com/perfume/Burberry/Goddess-83483.html,Goddess,Burberry,women,"Vanilla, Lavender, Cacao, Ginger",Vanilla Caviar,Vanilla Absolute,4.21,2023,warm spicy,3.12,"Vanilla, Lavender, Cacao, Ginger, Vanilla Caviar, Vanilla Absolute","['Vanilla', 'Lavender', 'Cacao', 'Ginger', 'Vanilla Caviar', 'Vanilla Absolute']"
https://www.fragrantica.com/perfume/Versace/Eros-16657.html,Eros,Versace,men,"Mint, Green Apple, Lemon","Tonka Bean, Ambroxan, Geranium","Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss",4.08,2012,aromatic,3.546,"Mint, Green Apple, Lemon, Tonka Bean, Ambroxan, Geranium, Madagascar Vanilla, Virginian Cedar, Atlas Cedar, Vetiver, Oakmoss","['Mint', 'Green Apple', 'Lemon', 'Tonka Bean', 'Ambroxan', 'Geranium', 'Madagascar Vanilla', 'Virginian Cedar', 'Atlas Cedar', 'Vetiver', 'Oakmoss']"
https://www.fragrantica.com/perfume/Giardini-Di-Toscana/Bianco-Latte-64757.html,Bianco Latte,Giardini Di Toscana,women and men,Caramel,"Coumarin, Honey","Vanilla, White Musk",4.13,,gourmand,3.897,"Caramel, Coumarin, Honey, Vanilla, White Musk","['Caramel', 'Coumarin', 'Honey', 'Vanilla', 'White Musk']"
https://www.fragrantica.com/perfume/Afnan/9pm-65414.html,9pm,Afnan,men,"Apple, Cinnamon, Wild Lavender, Bergamot","Orange Blossom, Lily, Valley","Vanilla, Tonka Bean, Amber, Patchouli",4.47,2020,warm spicy,3.825,"Apple, Cinnamon, Wild Lavender, Bergamot, Orange Blossom, Lily, Valley, Vanilla, Tonka Bean, Amber, Patchouli","['Apple', 'Cinnamon', 'Wild Lavender', 'Bergamot', 'Orange Blossom', 'Lily', 'Valley', 'Vanilla', 'Tonka Bean', 'Amber', 'Patchouli']"
https://www.fragrantica.com/perfume/Maison-Martin-Margiela/Jazz-Club-20541.html,Jazz Club,Maison Martin Margiela,men,"Pink Pepper, Neroli, Lemon","Rum, Java, Clary Sage","Tobacco Leaf, Vanilla Bean, Styrax",4.2,2013,gourmand,3.288,"Pink Pepper, Neroli, Lemon, Rum, Java, Clary Sage, Tobacco Leaf, Vanilla Bean, Styrax","['Pink Pepper', 'Neroli', 'Lemon', 'Rum', 'Java', 'Clary Sage', 'Tobacco Leaf', 'Vanilla Bean', 'Styrax']"
https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-34696.html,Club de Nuit Intense Man,Armaf,men,"Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Musk, Ambergris, Patchouli, Vanilla",4.15,2015,citrus,3.789,"Lemon, Pineapple, Bergamot, Black Currant, Apple, Birch, Jasmine, Rose, Musk, Ambergris, Patchouli, Vanilla","['Lemon', 'Pineapple', 'Bergamot', 'Black Currant', 'Apple', 'Birch', 'Jasmine', 'Rose', 'Musk', 'Ambergris', 'Patchouli', 'Vanilla']"
https://www.fragrantica.com/perfume/Dior/Sauvage-31861.html,Sauvage,Dior,men,"Calabrian, Pepper","Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geraniumelemi","Ambroxan, Cedar, Labdanum",3.88,2015,citrus,3.626,"Calabrian, Pepper, Sichuan Pepper, Lavender, Pink Pepper, Vetiver, Patchouli, Geraniumelemi, Ambroxan, Cedar, Labdanum","['Calabrian', 'Pepper', 'Sichuan Pepper', 'Lavender', 'Pink Pepper', 'Vetiver', 'Patchouli', 'Geraniumelemi', 'Ambroxan', 'Cedar', 'Labdanum']"
https://www.fragrantica.com/perfume/Dior/Sauvage-Elixir-68415.html,Sauvage Elixir,Dior,men,"Nutmeg, Cinnamon, Cardamom, Grapefruit",Lavender,"Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver",4.33,2021,warm spicy,4.488,"Nutmeg, Cinnamon, Cardamom, Grapefruit, Lavender, Licorice, Sandalwood, Amber, Patchouli, Haitian Vetiver","['Nutmeg', 'Cinnamon', 'Cardamom', 'Grapefruit', 'Lavender', 'Licorice', 'Sandalwood', 'Amber', 'Patchouli', 'Haitian Vetiver']"
https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,Aventus,Creed,men,"Bergamot, Black Currant, Apple, Lemon, Pink Pepper","Pineapple, Patchouli, Moroccan Jasmine","Birch, Muskoak, Ambroxan, Cedarwood",4.34,2010,fruity,3.421,"Bergamot, Black Currant, Apple, Lemon, Pink Pepper, Pineapple, Patchouli, Moroccan Jasmine, Birch, Muskoak, Ambroxan, Cedarwood","['Bergamot', 'Black Currant', 'Apple', 'Lemon', 'Pink Pepper', 'Pineapple', 'Patchouli', 'Moroccan Jasmine', 'Birch', 'Muskoak', 'Ambroxan', 'Cedarwood']"
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Black-Opium-25324.html,Black Opium,Yves Saint Laurent,women,"Pear, Pink Pepper, Orange Blossom","Coffee, Jasmine, Bitter Almond, Licorice","Vanilla, Patchouli, Cashmere Wood, Cedar",3.93,2014,gourmand,3.328,"Pear, Pink Pepper, Orange Blossom, Coffee, Jasmine, Bitter Almond, Licorice, Vanilla, Patchouli, Cashmere Wood, Cedar","['Pear', 'Pink Pepper', 'Orange Blossom', 'Coffee', 'Jasmine', 'Bitter Almond', 'Licorice', 'Vanilla', 'Patchouli', 'Cashmere Wood', 'Cedar']"
https://www.fragrantica.com/perfume/Versace/Eros-Flame-52180.html,Eros Flame,Versace,men,"Mandarin Orange, Madagascar Pepper, Lemon, Chinotto, Rosemary","Geranium, Rose, Pepperwood","Vanilla, Tonka Bean, Sandalwood, Texas Cedar, Patchouli, Oakmoss",4.31,2018,citrus,3.729,"Mandarin Orange, Madagascar Pepper, Lemon, Chinotto, Rosemary, Geranium, Rose, Pepperwood, Vanilla, Tonka Bean, Sandalwood, Texas Cedar, Patchouli, Oakmoss","['Mandarin Orange', 'Madagascar Pepper', 'Lemon', 'Chinotto', 'Rosemary', 'Geranium', 'Rose', 'Pepperwood', 'Vanilla', 'Tonka Bean', 'Sandalwood', 'Texas Cedar', 'Patchouli', 'Oakmoss']"
https://www.fragrantica.com/perfume/Xerjoff/Erba-Pura-55157.html,Erba Pura,Xerjoff,women and men,"Sicilian Orange, Calabrian, Sicilian Lemon",Fruits,"White Musk, Madagascar Vanilla, Amber",3.81,2019,fruity,4.291,"Sicilian Orange, Calabrian, Sicilian Lemon, Fruits, White Musk, Madagascar Vanilla, Amber","['Sicilian Orange', 'Calabrian', 'Sicilian Lemon', 'Fruits', 'White Musk', 'Madagascar Vanilla', 'Amber']"
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Ultra-Male-30947.html,Ultra Male,Jean Paul Gaultier,men,"Pear, Lavender, Mint, Bergamot, Lemon","Cinnamon, Clary Sage, Caraway","Black Vanilla Husk, Amber, Patchouli, Cedar",4.45,2015,fruity,3.854,"Pear, Lavender, Mint, Bergamot, Lemon, Cinnamon, Clary Sage, Caraway, Black Vanilla Husk, Amber, Patchouli, Cedar","['Pear', 'Lavender', 'Mint', 'Bergamot', 'Lemon', 'Cinnamon', 'Clary Sage', 'Caraway', 'Black Vanilla Husk', 'Amber', 'Patchouli', 'Cedar']"
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,Asad,Lattafa Perfumes,men,"Black Pepper, Tobacco, Pineapple","Patchouli, Coffee, Iris","Vanilla, Amber, Dry Wood, Benzoin, Labdanum",4.25,2021,woody,3.679,"Black Pepper, Tobacco, Pineapple, Patchouli, Coffee, Iris, Vanilla, Amber, Dry Wood, Benzoin, Labdanum","['Black Pepper', 'Tobacco', 'Pineapple', 'Patchouli', 'Coffee', 'Iris', 'Vanilla', 'Amber', 'Dry Wood', 'Benzoin', 'Labdanum']"
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,Grand Soir,Maison Francis Kurkdjian,women and men,"Spanish Labdanum, Orange","Lavender, Siam Benzoin","Amber, Vanilla, Tonka Bean, Musk, Cedar",4.32,2016,gourmand,4.038,"Spanish Labdanum, Orange, Lavender, Siam Benzoin, Amber, Vanilla, Tonka Bean, Musk, Cedar","['Spanish Labdanum', 'Orange', 'Lavender', 'Siam Benzoin', 'Amber', 'Vanilla', 'Tonka Bean', 'Musk', 'Cedar']"
https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,Lost Cherry,Tom Ford,women and men,"Bitter Almond, Black Cherry, Cherry Liqueur","Sour Cherry, Plum, Turkish Rose, Jasmine Sambac","Vanilla, Tonka Bean, Cinnamon, Peru Balsam, Benzoin, Sandalwood, Cloves, Cedar, Patchouli, Vetiver",4.13,2018,gourmand,3.13,"Bitter Almond, Black Cherry, Cherry Liqueur, Sour Cherry, Plum, Turkish Rose, Jasmine Sambac, Vanilla, Tonka Bean, Cinnamon, Peru Balsam, Benzoin, Sandalwood, Cloves, Cedar, Patchouli, Vetiver","['Bitter Almond', 'Black Cherry', 'Cherry Liqueur', 'Sour Cherry', 'Plum', 'Turkish Rose', 'Jasmine Sambac', 'Vanilla', 'Tonka Bean', 'Cinnamon', 'Peru Balsam', 'Benzoin', 'Sandalwood', 'Cloves', 'Cedar', 'Patchouli', 'Vetiver']"
https://www.fragrantica.com/perfume/Tom-Ford/Ombre-Leather-2018-50239.html,Ombré Leather (2018),Tom Ford,women and men,Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli",4.34,2018,warm spicy,3.864,"Cardamom, Leather, Jasmine Sambac, Amber, Moss, Patchouli","['Cardamom', 'Leather', 'Jasmine Sambac', 'Amber', 'Moss', 'Patchouli']"
https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-39681.html,Good Girl,Carolina Herrera,women,"Almond, Coffee, Bergamot, Lemon","Tuberose, Jasmine Sambac, Orange Blossom, Bulgarian Rose, Orris","Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Cinnamon, Patchouli, Cedar",3.92,2016,gourmand,3.498,"Almond, Coffee, Bergamot, Lemon, Tuberose, Jasmine Sambac, Orange Blossom, Bulgarian Rose, Orris, Tonka Bean, Cacao, Vanilla, Praline, Sandalwood, Musk, Amber, Cashmere Wood, Cinnamon, Patchouli, Cedar","['Almond', 'Coffee', 'Bergamot', 'Lemon', 'Tuberose', 'Jasmine Sambac', 'Orange Blossom', 'Bulgarian Rose', 'Orris', 'Tonka Bean', 'Cacao', 'Vanilla', 'Praline', 'Sandalwood', 'Musk', 'Amber', 'Cashmere Wood', 'Cinnamon', 'Patchouli', 'Cedar']"
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Libre-56077.html,Libre,Yves Saint Laurent,women,"Lavender, Mandarin Orange, Black Currant, Petitgrain","Lavender, Orange Blossom, Jasmine","Madagascar Vanilla, Musk, Cedar, Ambergris",3.93,2019,citrus,3.528,"Lavender, Mandarin Orange, Black Currant, Petitgrain, Lavender, Orange Blossom, Jasmine, Madagascar Vanilla, Musk, Cedar, Ambergris","['Lavender', 'Mandarin Orange', 'Black Currant', 'Petitgrain', 'Lavender', 'Orange Blossom', 'Jasmine', 'Madagascar Vanilla', 'Musk', 'Cedar', 'Ambergris']"
https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html,Valentino Uomo Born In Roma Intense,Valentino,men,Vanilla,Lavender,Vetiver,4.51,2023,aromatic,3.601,"Vanilla, Lavender, Vetiver","['Vanilla', 'Lavender', 'Vetiver']"
https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,Althaïr,Parfums de Marly,men,"Cinnamon, Cardamom, Orange Blossom, Bergamot",Bourbon Vanillaelemi,"Praline, Musk, Ambroxan, Guaiac Wood, Tonka, Candied Almond",4.44,2023,gourmand,3.807,"Cinnamon, Cardamom, Orange Blossom, Bergamot, Bourbon Vanillaelemi, Praline, Musk, Ambroxan, Guaiac Wood, Tonka, Candied Almond","['Cinnamon', 'Cardamom', 'Orange Blossom', 'Bergamot', 'Bourbon Vanillaelemi', 'Praline', 'Musk', 'Ambroxan', 'Guaiac Wood', 'Tonka', 'Candied Almond']"
https://www.fragrantica.com/perfume/Rasasi/Hawas-for-Him-46890.html,Hawas for Him,Rasasi,women and men,"Apple, Bergamot, Lemon, Cinnamon","Watery Notes, Plum, Orange Blossom, Cardamon","Ambergris, Musk, Patchouli, Driftwood",4.37,2015,fruity,3.754,"Apple, Bergamot, Lemon, Cinnamon, Watery Notes, Plum, Orange Blossom, Cardamon, Ambergris, Musk, Patchouli, Driftwood","['Apple', 'Bergamot', 'Lemon', 'Cinnamon', 'Watery Notes', 'Plum', 'Orange Blossom', 'Cardamon', 'Ambergris', 'Musk', 'Patchouli', 'Driftwood']"
https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html,Versace Pour Homme,Versace,men,"Lemon, Bergamot, Neroli, Rose, Mai","Hyacinth, Cedar, Clary Sage, Geranium","Tonka Bean, Musk, Amber",4.28,2008,citrus,3.036,"Lemon, Bergamot, Neroli, Rose, Mai, Hyacinth, Cedar, Clary Sage, Geranium, Tonka Bean, Musk, Amber","['Lemon', 'Bergamot', 'Neroli', 'Rose', 'Mai', 'Hyacinth', 'Cedar', 'Clary Sage', 'Geranium', 'Tonka Bean', 'Musk', 'Amber']"
https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html,Acqua di Giò Profondo,Giorgio Armani,men,"Sea Notes, Aquozone, Bergamot, Green Mandarin","Rosemary, Lavender, Cypress, Mastic, Lentisque","Mineral, Musk, Patchouli, Amber",4.34,2020,aromatic,3.254,"Sea Notes, Aquozone, Bergamot, Green Mandarin, Rosemary, Lavender, Cypress, Mastic, Lentisque, Mineral, Musk, Patchouli, Amber","['Sea Notes', 'Aquozone', 'Bergamot', 'Green Mandarin', 'Rosemary', 'Lavender', 'Cypress', 'Mastic', 'Lentisque', 'Mineral', 'Musk', 'Patchouli', 'Amber']"
https://www.fragrantica.com/perfume/Mancera/Cedrat-Boise-15211.html,Cedrat Boise,Mancera,women and men,"Sicilian Lemon, Black Currant, Bergamot, Spicy Notes","Fruity Notes, Patchouli Leaf, Water Jasmine","Cedar, Leather, Sandalwood, Vanilla, White Musk, Moss",4.13,2011,woody,3.615,"Sicilian Lemon, Black Currant, Bergamot, Spicy Notes, Fruity Notes, Patchouli Leaf, Water Jasmine, Cedar, Leather, Sandalwood, Vanilla, White Musk, Moss","['Sicilian Lemon', 'Black Currant', 'Bergamot', 'Spicy Notes', 'Fruity Notes', 'Patchouli Leaf', 'Water Jasmine', 'Cedar', 'Leather', 'Sandalwood', 'Vanilla', 'White Musk', 'Moss']"
https://www.fragrantica.com/perfume/Givenchy/Gentleman-Eau-de-Parfum-Reserve-Privee-71272.html,Gentleman Eau de Parfum Reserve Privée,Givenchy,men,Bergamot,"Iris, Chestnut","Whiskey, Woodsy Notes, Amber",4.45,2022,woody,3.651,"Bergamot, Iris, Chestnut, Whiskey, Woodsy Notes, Amber","['Bergamot', 'Iris', 'Chestnut', 'Whiskey', 'Woodsy Notes', 'Amber']"
https://www.fragrantica.com/perfume/Azzaro/The-Most-Wanted-Parfum-73664.html,The Most Wanted Parfum,Azzaro,men,Ginger,Woodsy Notes,Bourbon Vanilla,4.61,2022,woody,3.73,"Ginger, Woodsy Notes, Bourbon Vanilla","['Ginger', 'Woodsy Notes', 'Bourbon Vanilla']"
https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,Terre d'Hermès,Hermès,men,"Orange, Grapefruit","Pepper, Pelargonium, Flint","Vetiver, Cedar, Patchouli, Benzoin",4.28,2006,citrus,3.498,"Orange, Grapefruit, Pepper, Pelargonium, Flint, Vetiver, Cedar, Patchouli, Benzoin","['Orange', 'Grapefruit', 'Pepper', 'Pelargonium', 'Flint', 'Vetiver', 'Cedar', 'Patchouli', 'Benzoin']"
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Paradise-Garden-88836.html,Le Beau Paradise Garden,Jean Paul Gaultier,men,"Green Notes, Watery Notes, Mint, Ginger","Coconut, Fig, Salt","Tonka Bean, Sandalwood",4.31,2024,green,3.701,"Green Notes, Watery Notes, Mint, Ginger, Coconut, Fig, Salt, Tonka Bean, Sandalwood","['Green Notes', 'Watery Notes', 'Mint', 'Ginger', 'Coconut', 'Fig', 'Salt', 'Tonka Bean', 'Sandalwood']"
https://www.fragrantica.com/perfume/Tom-Ford/Black-Orchid-1018.html,Black Orchid,Tom Ford,women,"Truffle, Gardenia, Black Currant, Ylang, Ylang, Jasmine, Bergamot, Mandarin Orange, Amalfi Lemon","Orchid, Spices, Gardenia, Fruity Notes, Ylang, Ylang, Jasmine, Lotus","Mexican, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver, White Musk",3.91,2006,warm spicy,4.133,"Truffle, Gardenia, Black Currant, Ylang, Ylang, Jasmine, Bergamot, Mandarin Orange, Amalfi Lemon, Orchid, Spices, Gardenia, Fruity Notes, Ylang, Ylang, Jasmine, Lotus, Mexican, Patchouli, Vanille, Incense, Amber, Sandalwood, Vetiver, White Musk","['Truffle', 'Gardenia', 'Black Currant', 'Ylang', 'Ylang', 'Jasmine', 'Bergamot', 'Mandarin Orange', 'Amalfi Lemon', 'Orchid', 'Spices', 'Gardenia', 'Fruity Notes', 'Ylang', 'Ylang', 'Jasmine', 'Lotus', 'Mexican', 'Patchouli', 'Vanille', 'Incense', 'Amber', 'Sandalwood', 'Vetiver', 'White Musk']"
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,Yara,Lattafa Perfumes,women,"Orchid, Heliotrope, Tangerine","Gourmand Accord, Tropical Fruits","Vanilla, Musk, Sandalwood",4.07,2020,gourmand,3.037,"Orchid, Heliotrope, Tangerine, Gourmand Accord, Tropical Fruits, Vanilla, Musk, Sandalwood","['Orchid', 'Heliotrope', 'Tangerine', 'Gourmand Accord', 'Tropical Fruits', 'Vanilla', 'Musk', 'Sandalwood']"
https://www.fragrantica.com/perfume/Mancera/Instant-Crush-54885.html,Instant Crush,Mancera,women and men,"Saffron, Ginger, Sicilian Mandarin, Sicilian Bergamot","Amberwood, Moroccan Rose, Egyptian Jasmine, Indonesian Patchouli Leaf","Madagascar Vanilla, White Musk, Sandalwood, Oakmoss",4.09,2019,warm spicy,4.137,"Saffron, Ginger, Sicilian Mandarin, Sicilian Bergamot, Amberwood, Moroccan Rose, Egyptian Jasmine, Indonesian Patchouli Leaf, Madagascar Vanilla, White Musk, Sandalwood, Oakmoss","['Saffron', 'Ginger', 'Sicilian Mandarin', 'Sicilian Bergamot', 'Amberwood', 'Moroccan Rose', 'Egyptian Jasmine', 'Indonesian Patchouli Leaf', 'Madagascar Vanilla', 'White Musk', 'Sandalwood', 'Oakmoss']"
https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,Encre Noire,Lalique,men,Cypress,Vetiver,"Cashmere Wood, Musk",4.17,2006,woody,3.476,"Cypress, Vetiver, Cashmere Wood, Musk","['Cypress', 'Vetiver', 'Cashmere Wood', 'Musk']"
https://www.fragrantica.com/perfume/Louis-Vuitton/Imagination-67370.html,Imagination,Louis Vuitton,men,"Citron, Calabrian, Sicilian Orange","Tunisian Neroli, Nigerian Ginger, Ceylon Cinnamon","Chinese Black Tea, Ambroxan, Guaiac Wood, Olibanum",4.56,2021,citrus,3.638,"Citron, Calabrian, Sicilian Orange, Tunisian Neroli, Nigerian Ginger, Ceylon Cinnamon, Chinese Black Tea, Ambroxan, Guaiac Wood, Olibanum","['Citron', 'Calabrian', 'Sicilian Orange', 'Tunisian Neroli', 'Nigerian Ginger', 'Ceylon Cinnamon', 'Chinese Black Tea', 'Ambroxan', 'Guaiac Wood', 'Olibanum']"
